date,objectivity,sentiment
2015-03-30T18:58:30.000Z,1,0
2015-03-30T19:22:52.000Z,0,1
2015-03-30T20:03:23.000Z,1,0
2015-03-30T20:10:26.000Z,1,0
2015-03-30T20:12:32.000Z,1,0
2015-03-30T20:14:11.000Z,1,0
2015-03-30T20:16:19.000Z,1,0
2015-03-30T20:17:26.000Z,1,0
2015-03-30T20:25:10.000Z,1,0
2015-03-30T20:31:10.000Z,1,0
2015-03-30T20:31:17.000Z,1,0
2015-03-30T20:38:05.000Z,1,0
2015-03-30T21:19:30.000Z,1,0
2015-03-30T21:45:12.000Z,0,0
2015-03-30T22:02:46.000Z,1,0
2015-03-30T22:05:16.000Z,1,0
2015-03-30T22:12:11.000Z,1,0
2015-03-30T22:17:28.000Z,1,0
2015-03-30T22:29:02.000Z,1,0
2015-03-30T22:35:17.000Z,0,0
2015-03-30T22:37:01.000Z,1,0
2015-03-31T04:52:24.000Z,1,0
2015-03-31T07:34:36.000Z,0,0
2015-03-31T08:41:30.000Z,1,0
2015-03-31T09:47:25.000Z,1,0
2015-03-31T09:50:04.000Z,1,0
2015-03-31T10:24:39.000Z,1,0
2015-03-31T10:26:26.000Z,0,0
2015-03-31T10:28:04.000Z,0,-1
2015-03-31T10:33:18.000Z,0,-1
2015-03-31T11:06:10.000Z,0,1
2015-03-31T11:13:13.000Z,1,0
2015-03-31T11:26:23.000Z,1,0
2015-03-31T11:32:44.000Z,1,0
2015-03-31T11:34:48.000Z,1,0
2015-03-31T11:41:07.000Z,1,0
2015-03-31T11:45:07.000Z,1,0
2015-03-31T11:45:26.000Z,0,1
2015-03-31T11:48:39.000Z,0,0
2015-03-31T11:49:25.000Z,0,0
2015-03-31T11:49:52.000Z,0,0
2015-03-31T12:04:50.000Z,1,0
2015-03-31T12:46:03.000Z,0,-1
2015-03-31T13:01:22.000Z,0,-1
2015-03-31T13:16:06.000Z,1,0
2015-03-31T13:27:29.000Z,1,0
2015-03-31T13:39:48.000Z,1,0
2015-03-31T13:40:25.000Z,1,0
2015-03-31T13:54:58.000Z,0,1
2015-03-31T13:56:01.000Z,0,0
2015-03-31T13:56:02.000Z,0,-1
2015-03-31T14:13:24.000Z,1,0
2015-03-31T14:20:13.000Z,1,0
2015-03-31T14:20:24.000Z,0,1
2015-03-31T14:21:59.000Z,1,0
2015-03-31T14:27:35.000Z,1,0
2015-03-31T14:54:28.000Z,1,0
2015-03-31T15:16:27.000Z,1,0
2015-03-31T15:25:07.000Z,0,1
2015-03-31T15:38:18.000Z,1,0
2015-03-31T16:08:51.000Z,1,0
